exp_name,sim_id,exp,org,count_str_flip,mean_strategy_flip_time,std_strategy_flip_time,var_strategy_flip_time,mean_magnitude_of_strategy_flip,std_magnitude_of_strategy_flip,var_magnitude_of_strategy_flip
owl_exp_mixed,09a48b98db1c47049e43c0ac1db6ebbf,experiment1,krat,235,25.50854700854701,24.355422844083197,593.1866219140896,0.3490315147454483,0.297579940824604,0.08855382118117482
owl_exp_mixed,09a48b98db1c47049e43c0ac1db6ebbf,experiment1,snake,304,3.267326732673267,0.9159125559303217,0.8388958101108147,0.22346375129184665,0.08045003108158154,0.006472207501027435
owl_exp_mixed,0e080dc646264fadb6c4693ec9fe7786,experiment1,krat,235,25.384615384615383,28.510474290548668,812.8471442720366,0.3400916451736898,0.2962510772365162,0.0877647007637963
owl_exp_mixed,0e080dc646264fadb6c4693ec9fe7786,experiment1,snake,301,3.3,0.9162231621952953,0.8394648829431464,0.228473972859964,0.08001560182429601,0.006402496535304282
owl_exp_mixed,1054613690ac4a2389344f86d70e9269,experiment1,krat,299,19.973154362416107,18.34625671550034,336.5851354710413,0.33942030327352807,0.2946285110991143,0.08680595955248091
owl_exp_mixed,1054613690ac4a2389344f86d70e9269,experiment1,snake,302,3.2857142857142856,0.9616454152970865,0.924761904761906,0.21812855202023282,0.0782281118944099,0.006119637490564315
owl_exp_mixed,17de51ef52e54f57a2b929197894d93d,experiment1,krat,246,24.33877551020408,26.87363276222145,722.192137838742,0.3373509089120912,0.30433671825420205,0.09262083807773755
owl_exp_mixed,17de51ef52e54f57a2b929197894d93d,experiment1,snake,299,3.325503355704698,0.8397253328730974,0.7051386346688341,0.22885752973306087,0.07943796975940734,0.006310391039496514
owl_exp_mixed,1bbf106296424b97a4216dc1ec08c9a8,experiment1,krat,250,24.012048192771083,23.709512506333635,562.140983287991,0.30750710013869365,0.2922356376089206,0.08540166788869236
owl_exp_mixed,1bbf106296424b97a4216dc1ec08c9a8,experiment1,snake,297,3.3412162162162162,0.8685408807688045,0.7543632615666507,0.2305055938810135,0.07336550497767173,0.005382497320628776
owl_exp_mixed,269c66a61fd94e928dcbdac37a510d84,experiment1,krat,267,22.466165413533833,22.440041325149608,503.5554546744222,0.3120197578801413,0.2998023668345831,0.08988145915961793
owl_exp_mixed,269c66a61fd94e928dcbdac37a510d84,experiment1,snake,300,3.3076923076923075,0.8625160395207535,0.7439339184305661,0.2272736963095251,0.07669691453574361,0.0058824166993031585
owl_exp_mixed,29df93f871534dba94ce5f28c98f1442,experiment1,krat,279,21.471223021582734,23.035623784038425,530.6399631197568,0.29878203568160183,0.27738128441385157,0.07694037694307801
owl_exp_mixed,29df93f871534dba94ce5f28c98f1442,experiment1,snake,299,3.3221476510067114,0.972818850992472,0.9463765168463134,0.21396998524853775,0.08081010454142631,0.006530272995996251
owl_exp_mixed,2d559bf8817d497a9e502d31927497d4,experiment1,krat,270,22.152416356877325,23.679668126311828,560.7266825722684,0.3402250565292557,0.30300783115306346,0.09181374574008343
owl_exp_mixed,2d559bf8817d497a9e502d31927497d4,experiment1,snake,305,3.263157894736842,0.8422572383274761,0.7093972555150269,0.2254416634911818,0.07129999558465307,0.005083689370371547
owl_exp_mixed,30417ee5a085461a86d759ad70e093dd,experiment1,krat,255,23.409448818897637,25.44057769334038,647.2229933708882,0.33421361503591557,0.3002316143521157,0.09013902225647752
owl_exp_mixed,30417ee5a085461a86d759ad70e093dd,experiment1,snake,298,3.3367003367003365,0.8705581588104879,0.7578715078715067,0.22863037786019208,0.07262765814479101,0.005274776727596628
owl_exp_mixed,354335a51faf478681ddd0882e7c545f,experiment1,krat,262,22.93103448275862,24.142267325544164,582.8490716180374,0.31151149128489036,0.2949034073565294,0.08696801967049114
owl_exp_mixed,354335a51faf478681ddd0882e7c545f,experiment1,snake,298,3.3333333333333335,0.7841331933191372,0.6148648648648675,0.2336659654936025,0.07959273148626239,0.006335002905444266
owl_exp_mixed,3af448fd4b674d369537dd15bb77bf71,experiment1,krat,257,22.92578125,24.165409555707885,583.967018995098,0.35121934138785843,0.3011570672513719,0.09069557915544735
owl_exp_mixed,3af448fd4b674d369537dd15bb77bf71,experiment1,snake,297,3.3513513513513513,0.8181406357482653,0.6693540998625759,0.2272580940343108,0.07803312738824755,0.00608916896999047
owl_exp_mixed,3c1c517b347b434185dcc423ebf610a4,experiment1,krat,271,22.144444444444446,21.881003513229754,478.77831474597286,0.3577413378645327,0.2984184333642485,0.08905356137157242
owl_exp_mixed,3c1c517b347b434185dcc423ebf610a4,experiment1,snake,302,3.2823920265780733,0.9073710702552812,0.8233222591362144,0.2243796067477611,0.08208817966246308,0.006738469240296817
owl_exp_mixed,453b3b3b216048e4a1ea9757a3d1bd4d,experiment1,krat,246,24.367346938775512,21.881849164329132,478.81532285045154,0.35021251070008336,0.2996527549735148,0.08979177356321728
owl_exp_mixed,453b3b3b216048e4a1ea9757a3d1bd4d,experiment1,snake,307,3.241830065359477,0.9055467964361268,0.8200150005357321,0.22008067232277656,0.07811485393425519,0.006101930405170024
owl_exp_mixed,4671eb12ac6d419cb7dc2ae80eef33d3,experiment1,krat,252,23.693227091633467,24.332478582015096,592.0695139442234,0.31677083510830484,0.2887297641185603,0.08336487668795944
owl_exp_mixed,4671eb12ac6d419cb7dc2ae80eef33d3,experiment1,snake,301,3.3033333333333332,0.9059385396820023,0.820724637681159,0.22307530539165332,0.08142632250224162,0.006630245996239061
owl_exp_mixed,5ac0a36ea14b4f29998a976041fe769c,experiment1,krat,266,22.264150943396228,21.877197676095253,478.6117781589475,0.3040302617444182,0.2883515739552479,0.08314663020246879
owl_exp_mixed,5ac0a36ea14b4f29998a976041fe769c,experiment1,snake,295,3.3639455782312924,0.8587192287073285,0.7373987137517093,0.2202592689769586,0.07503190487760265,0.005629786749561614
owl_exp_mixed,5af283c1e96c4d628ee9aecea5aea1d2,experiment1,krat,241,24.145833333333332,25.714549536790564,661.2380578800559,0.3192011430170595,0.29316637441233695,0.08594652308607455
owl_exp_mixed,5af283c1e96c4d628ee9aecea5aea1d2,experiment1,snake,299,3.325503355704698,0.871212194899089,0.7590106885408882,0.2301973169943935,0.08258437827530395,0.006820179535118495
owl_exp_mixed,5bf916516f8744c68cd97c20c5eb848c,experiment1,krat,248,24.072874493927124,24.460411707301414,598.3117408906882,0.35655747841857954,0.2947851705926277,0.08689829680132462
owl_exp_mixed,5bf916516f8744c68cd97c20c5eb848c,experiment1,snake,304,3.267326732673267,0.8790168624934912,0.7726706445479011,0.22195736788621465,0.07821663676638635,0.00611784226704482
owl_exp_mixed,5c512357ca3a4440b4ab37f9799cbecd,experiment1,krat,258,23.09338521400778,21.191625589750956,449.0849951361875,0.3257580543053543,0.2887724171593502,0.08338950891205377
owl_exp_mixed,5c512357ca3a4440b4ab37f9799cbecd,experiment1,snake,316,3.142857142857143,0.9553260499392062,0.9126478616924467,0.21148124848905958,0.08772377000173232,0.007695459823316831
owl_exp_mixed,652002d2ed754de2abbca41795e466aa,experiment1,krat,222,27.040723981900452,29.314333562282123,859.3301522007401,0.31493011537669713,0.29378173878766367,0.08630771004510304
owl_exp_mixed,652002d2ed754de2abbca41795e466aa,experiment1,snake,296,3.3491525423728814,0.8787694088500058,0.7722356739305886,0.22274125335521475,0.07597778729507462,0.005772624162255602
owl_exp_mixed,6ad8f808abcc42bb8379713dffe0ea3f,experiment1,krat,248,24.08097165991903,22.395773099193864,501.5706527105756,0.3273201907951653,0.29137636236935893,0.08490018454759998
owl_exp_mixed,6ad8f808abcc42bb8379713dffe0ea3f,experiment1,snake,301,3.296666666666667,0.8895466258460382,0.7912931995540714,0.22000502716880752,0.08100434935998765,0.006561704615234932
owl_exp_mixed,6dc3d72cf27c4ebfa6001b30a5fddc16,experiment1,krat,261,22.99230769230769,26.0978249227108,681.096465696465,0.31821430664321615,0.2965437200119713,0.08793817787853843
owl_exp_mixed,6dc3d72cf27c4ebfa6001b30a5fddc16,experiment1,snake,294,3.3754266211604094,0.8290592780671113,0.6873392865491598,0.22286387398605664,0.0759658592739385,0.005770811775227827
owl_exp_mixed,79ada00d2697464d868305d9f58675be,experiment1,krat,262,22.8544061302682,22.384272245773044,501.0556439728853,0.33763088238267996,0.3000261884547548,0.09001571375868807
owl_exp_mixed,79ada00d2697464d868305d9f58675be,experiment1,snake,302,3.2890365448504983,0.9658395667293915,0.9328460686600188,0.22228303927567106,0.08226415456955075,0.006767391127042936
owl_exp_mixed,8625b3d6812f413f892557e1eb4fbeb3,experiment1,krat,236,24.914893617021278,24.124525403625526,581.9927259501734,0.33600599997534264,0.3036618264177705,0.0922105048233762
owl_exp_mixed,8625b3d6812f413f892557e1eb4fbeb3,experiment1,snake,294,3.3822525597269624,0.8820658218508006,0.7780401140773283,0.22615776276325317,0.0762382191285814,0.005812266055897595
owl_exp_mixed,88be77c61c4c4405995f2e5649695453,experiment1,krat,273,21.966911764705884,22.954045395566027,526.888200021706,0.3210756224378799,0.2919815957959241,0.08525325228353439
owl_exp_mixed,88be77c61c4c4405995f2e5649695453,experiment1,snake,309,3.2175324675324677,0.9031708974231841,0.8157176699521999,0.2151293206297333,0.08098760984491833,0.006558992948392712
owl_exp_mixed,8bd4981a1e764372a12d63b85caccfa0,experiment1,krat,243,24.640495867768596,23.24323157095369,540.2478138609783,0.34203392138706257,0.284912887613137,0.08117535352805604
owl_exp_mixed,8bd4981a1e764372a12d63b85caccfa0,experiment1,snake,298,3.3333333333333335,0.9656254099972903,0.9324324324324349,0.21578998163431892,0.08456548193122278,0.007151320734259965
owl_exp_mixed,8bf5d494d5844dc0a0055e60fc8bcc04,experiment1,krat,256,23.372549019607842,23.031782888097872,530.463023004478,0.312392406380447,0.2878761108614275,0.0828726552047009
owl_exp_mixed,8bf5d494d5844dc0a0055e60fc8bcc04,experiment1,snake,303,3.2781456953642385,1.012604551985788,1.0253679787023386,0.2138048635250166,0.08253171620720065,0.006811484180105907
owl_exp_mixed,901ccd9c044e42ffa56943cfe5033847,experiment1,krat,252,23.852589641434264,23.04148830407733,530.9101832669324,0.32735040130255644,0.30037180530835533,0.09022322142420053
owl_exp_mixed,901ccd9c044e42ffa56943cfe5033847,experiment1,snake,300,3.3076923076923075,0.9722531564925666,0.9452762003097592,0.22418182179698512,0.08143119939381553,0.006631040234715344
owl_exp_mixed,922d184dfd304bcbb3b21c0aecb36b0d,experiment1,krat,214,27.887323943661972,24.946480049528965,622.3268668615467,0.3423758508772223,0.2927166685358868,0.08568304803874822
owl_exp_mixed,922d184dfd304bcbb3b21c0aecb36b0d,experiment1,snake,299,3.325503355704698,0.8477066993582436,0.7186066481368476,0.2260510426735223,0.07807959344901189,0.00609642291316298
owl_exp_mixed,9ccf36a8d72b493bb3b4a06062fe0947,experiment1,krat,233,25.69396551724138,24.35890297003474,593.3561539035672,0.33986476029745094,0.30571171508325606,0.09345965273914594
owl_exp_mixed,9ccf36a8d72b493bb3b4a06062fe0947,experiment1,snake,304,3.267326732673267,0.8676422620406561,0.7528030948790265,0.22119501590611013,0.07412103572497315,0.005493927936942747
owl_exp_mixed,a04cc433513f443c9376029d249daa1a,experiment1,krat,245,24.270491803278688,22.954432185501346,526.90595695878,0.3159906531039252,0.2879048949096453,0.08288922851293393
owl_exp_mixed,a04cc433513f443c9376029d249daa1a,experiment1,snake,296,3.3559322033898304,0.8564026936081409,0.7334255736192793,0.22085866409453567,0.0736545764208637,0.005424996627736852
owl_exp_mixed,a0c3bfe75f734496914279844ea1b429,experiment1,krat,222,26.493212669683256,27.97395215512625,782.5419991772925,0.3368371759651456,0.29765301918043924,0.08859731982723092
owl_exp_mixed,a0c3bfe75f734496914279844ea1b429,experiment1,snake,296,3.3559322033898304,0.9103096554784941,0.8286636688573746,0.2291239457645819,0.07854136562666154,0.0061687461145009306
owl_exp_mixed,a40ca626d92240ac87955a3015f360a1,experiment1,krat,218,27.48847926267281,26.31717341695596,692.5936166581334,0.35747632016201275,0.2926197137879529,0.08562629689734345
owl_exp_mixed,a40ca626d92240ac87955a3015f360a1,experiment1,snake,308,3.224755700325733,0.8735246323143284,0.7630452832598826,0.22237043643466609,0.07813659912423533,0.006105328122701454
owl_exp_mixed,a8a3a04ee39c453fa504053daf3c1782,experiment1,krat,252,23.322709163346612,23.89651527380249,571.0434422310756,0.3532030188399607,0.3079483293679334,0.0948321735605012
owl_exp_mixed,a8a3a04ee39c453fa504053daf3c1782,experiment1,snake,299,3.3187919463087248,0.8736986765718118,0.7633493774433354,0.23281998328089457,0.07652334082814365,0.005855821691500236
owl_exp_mixed,ad345c46a1cf4423b3fcdf28e1cc8f39,experiment1,krat,264,22.539923954372625,22.12018963090445,489.3027893071727,0.2989794634280319,0.29193773714890575,0.08522764237162359
owl_exp_mixed,ad345c46a1cf4423b3fcdf28e1cc8f39,experiment1,snake,301,3.2933333333333334,0.8581434940674277,0.7364102564102534,0.2199651426200839,0.07461758325697586,0.005567783731111724
owl_exp_mixed,b219079078ef4775abd7218204e5b13b,experiment1,krat,248,24.194331983805668,23.519985625857817,553.1897238405584,0.3146589554847059,0.3023871571493753,0.09143799280888099
owl_exp_mixed,b219079078ef4775abd7218204e5b13b,experiment1,snake,301,3.296666666666667,0.8149864407158723,0.6642028985507261,0.236287184257291,0.07301979074307427,0.005331889840162355
owl_exp_mixed,b21c453141d6467bae5d621c7d97be6f,experiment1,krat,264,22.680608365019012,22.821508796541384,520.8212637506158,0.2919028932245882,0.29394247816982333,0.08640218047261705
owl_exp_mixed,b21c453141d6467bae5d621c7d97be6f,experiment1,snake,301,3.3066666666666666,0.9212951960962653,0.8487848383500559,0.22279724505417225,0.0782218594208309,0.006118659291252233
owl_exp_mixed,b254b5be942d49a3ad0e715adb2946a9,experiment1,krat,238,25.223628691983123,25.45194438972155,647.8014732174782,0.29804384293138625,0.2858854772651086,0.08173050611109893
owl_exp_mixed,b254b5be942d49a3ad0e715adb2946a9,experiment1,snake,311,3.193548387096774,0.9354352720186172,0.8750391481365443,0.2086431486804695,0.0851786314359479,0.00725539925330105
owl_exp_mixed,b4ddebd4fa3445c194c0f19bb4699ddd,experiment1,krat,214,28.028169014084508,27.177771767300015,738.6312782354498,0.32094757444452005,0.2993973402300636,0.08963876733683646
