exp_name,sim_id,exp,org,count_str_flip,mean_strategy_flip_time,std_strategy_flip_time,var_strategy_flip_time,mean_magnitude_of_strategy_flip,std_magnitude_of_strategy_flip,var_magnitude_of_strategy_flip
owl_exp_pure,06028c5bc0bb4674a7d322d9ac32ed5e,experiment1,krat,356,20.117977528089888,15.835514102295532,250.7635068840007,0.843390238993369,0.36010639354960106,0.12967661467530017
owl_exp_pure,06028c5bc0bb4674a7d322d9ac32ed5e,experiment1,snake,373,2.7935656836461127,1.4856884990598078,2.2072703162385845,0.8876743410340514,0.263518495705841,0.06944199757906934
owl_exp_pure,078a550708c94ad589f54acb02b8b55a,experiment1,krat,385,19.114285714285714,15.708524376759195,246.75773809523787,0.8054099653671294,0.3930757334550531,0.15450853223122793
owl_exp_pure,078a550708c94ad589f54acb02b8b55a,experiment1,snake,383,2.6736292428198434,1.282385350347779,1.6445121867865957,0.9097858876928238,0.21141909118763463,0.044698032118605374
owl_exp_pure,0ebf538877ac46fda69541db6a494fa0,experiment1,krat,372,18.3252688172043,13.519242796974734,182.76992580355324,0.8528479999614526,0.35139776493249025,0.12348038919954969
owl_exp_pure,0ebf538877ac46fda69541db6a494fa0,experiment1,snake,369,2.861788617886179,1.7476313313778606,3.054215270413554,0.910835397759428,0.2190064776836809,0.04796383726741262
owl_exp_pure,0feb5c4d7e414258b999b38f2bc555b2,experiment1,krat,358,20.988826815642458,17.085216905705963,291.9046367150208,0.8358721360146294,0.36712851909925887,0.13478334953601487
owl_exp_pure,0feb5c4d7e414258b999b38f2bc555b2,experiment1,snake,373,2.8150134048257374,1.7660446700753454,3.118913776701535,0.9097908231020653,0.22349144405212593,0.04994842556450454
owl_exp_pure,2a68b06a5ef84464b9296a73da1a347f,experiment1,krat,357,21.142857142857142,19.50033954513617,380.2632423756015,0.8023378416549651,0.3964625094727747,0.15718252141744998
owl_exp_pure,2a68b06a5ef84464b9296a73da1a347f,experiment1,snake,368,2.7581521739130435,1.3686600614107913,1.8732303637009913,0.9043855135255904,0.23130614067423982,0.053502530713611225
owl_exp_pure,2b7c78b0d74146fba551161984937574,experiment1,krat,382,18.86649214659686,13.99458004379913,195.8482706023009,0.806752595315916,0.39205952419170365,0.15371067050942505
owl_exp_pure,2b7c78b0d74146fba551161984937574,experiment1,snake,392,2.5943877551020407,1.0296222000505264,1.0601218748368864,0.8986595518286472,0.23091279974912987,0.05332072108798175
owl_exp_pure,2c93d576a70b4d8a9c08ad4c034e9b6a,experiment1,krat,382,20.717277486910994,19.617702245353943,384.8542413873651,0.7650143998293537,0.4211649035087499,0.17737987594753463
owl_exp_pure,2c93d576a70b4d8a9c08ad4c034e9b6a,experiment1,snake,383,2.7389033942558747,1.7619378457591268,3.1044249723183124,0.9100320923298097,0.2007131842013781,0.04028578231225634
owl_exp_pure,31301794120c4a448281830a59de5cca,experiment1,krat,377,19.084880636604776,14.726160307175414,216.85979739262868,0.8256824702937471,0.3767963933456681,0.14197552203830346
owl_exp_pure,31301794120c4a448281830a59de5cca,experiment1,snake,392,2.576530612244898,1.0008999551843922,1.0018007202881185,0.9244943318771326,0.19485505420863833,0.03796849215065139
owl_exp_pure,3bab65ace3684e1fb4329fe0e7432a5f,experiment1,krat,350,21.005714285714287,15.811568483626251,250.00569791240298,0.8376600012704737,0.3655256089200026,0.13360897077633865
owl_exp_pure,3bab65ace3684e1fb4329fe0e7432a5f,experiment1,snake,386,2.6243523316062176,1.0401437064586136,1.0818989300854625,0.9213849287722337,0.19282113107996535,0.037179988590957176
owl_exp_pure,3d15923d58a441198767799b5ccd2c7c,experiment1,krat,357,19.955182072829132,14.807878531714634,219.27326661001513,0.8439907046853512,0.35942472878517473,0.12918613566229642
owl_exp_pure,3d15923d58a441198767799b5ccd2c7c,experiment1,snake,384,2.7083333333333335,1.4926568155529019,2.22802436901653,0.9054137661398929,0.21983755476680045,0.048328550485845986
owl_exp_pure,3dcc712119af4139a0b6af0649d15396,experiment1,krat,353,21.504249291784703,16.722691750798457,279.6484193922228,0.8194310525530407,0.3817623264003682,0.1457424738586213
owl_exp_pure,3dcc712119af4139a0b6af0649d15396,experiment1,snake,374,2.713903743315508,1.178889035491483,1.3897793580020388,0.9299661949910794,0.17408937565013563,0.030307110714254036
owl_exp_pure,4435c8a3c7e948c2be4765768d5a7cc2,experiment1,krat,354,21.031073446327685,15.895610079755382,252.6704198076209,0.8140693176443048,0.38584025332245525,0.14887270108393644
owl_exp_pure,4435c8a3c7e948c2be4765768d5a7cc2,experiment1,snake,385,2.6805194805194805,1.38227610463222,1.9106872294372241,0.9102371572002564,0.22267415158078274,0.049583777782221415
owl_exp_pure,4e75b60dfd604f31a717da0f5046bfd3,experiment1,krat,359,20.87743732590529,17.022709711685845,289.77264592832364,0.8164594523452718,0.38367892927094277,0.1472095207664971
owl_exp_pure,4e75b60dfd604f31a717da0f5046bfd3,experiment1,snake,383,2.6736292428198434,1.1691985613196054,1.3670252757918353,0.9048324115121407,0.21525398686882227,0.046334278862923114
owl_exp_pure,51d8a0bb312d40ebac66514ae66807c9,experiment1,krat,371,19.204851752021565,15.667873074133308,245.4822466671515,0.8310257515395638,0.3721721015339896,0.1385120731602263
owl_exp_pure,51d8a0bb312d40ebac66514ae66807c9,experiment1,snake,380,2.6789473684210527,1.196776209395747,1.432273295375653,0.9300602036575847,0.1832184047728852,0.03356898384752081
owl_exp_pure,53a40099b72348838173ab0832b5beee,experiment1,krat,366,20.2896174863388,16.616652857361196,276.11315218205004,0.8121554894750048,0.3872903840656113,0.1499938415896887
